Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.00876850513006259,23742,0.014571473653224703
1.0,0.020812666989080207,24118,0.02554311866837832
1.5,0.0324305268015528,23493,0.03380425938779385
2.0,0.040349528889759484,22868,0.04002451586635526
2.5,0.045877322502761116,22237,0.04470808100260228
3.0,0.05327695038533435,21612,0.04823458870547145
3.5,0.05849504314703094,20987,0.05088988573169382
4.0,0.06034278957222042,20362,0.05288920145464801
4.5,0.0616390835234008,19710,0.05439459362756761
5.0,0.05706178294756046,19109,0.05552808423551373
5.5,0.05234469264229504,18484,0.05638155018373259
6.0,0.05235850036761283,17859,0.05702417052805902
6.5,0.05642185419338146,17225,0.05750803389461049
7.0,0.05668565772548065,16600,0.05787236060719835
7.5,0.0527515443325499,15975,0.058146681753787885
8.0,0.05194857805386388,15350,0.05835323287635497
8.5,0.053076796840430276,14662,0.05850875630852246
9.0,0.05046460151089162,14097,0.05862585825235381
9.5,0.04672797870997063,13472,0.058714030594347356
10.0,0.04793162003109113,12847,0.05878042028557078
