Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.01638602907107887,18942,0.03156764504885489
1.0,0.04251328352550615,19118,0.05635151362677638
1.5,0.07145600920260849,18493,0.07580941556203538
2.0,0.10249029870306954,17868,0.09108588245144743
2.5,0.12060812804991028,17231,0.10307949005620257
3.0,0.12618280374243787,16606,0.11249571335038185
3.5,0.13076602853261274,15981,0.11988842320447873
4.0,0.12112000738596174,15356,0.1256924655768219
4.5,0.11462155617251872,14704,0.13024923955075055
5.0,0.11888805355462279,14103,0.13382677874109436
5.5,0.12763247474838066,13478,0.13663551727666215
6.0,0.14564383097473757,12853,0.13884066772825662
6.5,0.15624107942695875,12225,0.14057193906326687
7.0,0.14281031130073088,11600,0.14193116624582078
7.5,0.13128396076267682,10975,0.14299830026255914
8.0,0.12390564420014787,10350,0.14383611091282908
