Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.003837878651212082,17742,0.004693512113228805
1.0,0.00891675999473185,17868,0.008419797724664165
1.5,0.008876224145905378,17237,0.011378180301083717
2.0,0.012187389513701147,16612,0.013726907258997046
2.5,0.01699358267612153,15981,0.01559161480791227
3.0,0.016829231153431858,15356,0.01707204838120024
3.5,0.017859056634497637,14731,0.01824739813842795
4.0,0.02222235449465611,14106,0.01918053494155186
4.5,0.02119634799038244,13466,0.019921373392395737
5.0,0.021363077587908823,12853,0.020509541824303448
5.5,0.022629910318533376,12225,0.020976502069008227
6.0,0.020736084522407213,11600,0.021347232387579573
6.5,0.020523193134026767,10975,0.021641563587433427
7.0,0.019407171887849406,10350,0.02187523979590015
