Lag (m),Fitted_Semivariance
0.0,0.0
0.02,0.0015817857788128897
0.04,0.0017792058788910475
0.06,0.0019766259789692053
0.08,0.002174046079047363
0.1,0.002371466179125521
0.12,0.0025688862792036787
0.14,0.002766306379281837
0.16,0.0029637264793599947
0.18,0.0031611465794381525
0.2,0.0033585666795163103
0.22,0.0035559867795944677
0.24,0.003753406879672626
0.26,0.003950826979750783
0.28,0.004148247079828942
0.3,0.004345667179907099
0.32,0.0045430872799852575
0.34,0.004740507380063415
0.36,0.004937927480141572
0.38,0.005135347580219731
0.4,0.005332767680297889
0.42,0.0055301877803760465
0.44,0.005727607880454204
0.46,0.005925027980532362
0.48,0.00612244808061052
0.5,0.006319868180688678
0.52,0.0065172882807668355
0.54,0.006714708380844994
0.56,0.006912128480923152
0.58,0.007109548581001309
0.6,0.007306968681079467
0.62,0.0075043887811576246
0.64,0.007701808881235783
0.66,0.007899228981313941
0.68,0.008096649081392099
0.7000000000000001,0.008294069181470257
0.72,0.008491489281548414
0.74,0.008688909381626572
0.76,0.00888632948170473
0.78,0.009083749581782888
0.8,0.009281169681861046
0.8200000000000001,0.009478589781939203
0.84,0.009676009882017361
0.86,0.009873429982095519
0.88,0.010070850082173677
0.9,0.010268270182251835
0.92,0.010465690282329992
0.9400000000000001,0.01066311038240815
0.96,0.010860530482486308
0.98,0.011057950582564466
1.0,0.011255370682642624
1.02,0.01140954595497648
1.04,0.011563721227310335
1.06,0.01171789649964419
1.08,0.011872071771978047
1.1,0.012026247044311902
1.12,0.012180422316645758
1.1400000000000001,0.012334597588979614
1.16,0.012488772861313467
1.18,0.012642948133647323
1.2,0.012797123405981178
1.22,0.012951298678315034
1.24,0.01310547395064889
1.26,0.013259649222982745
1.28,0.013413824495316602
1.3,0.013567999767650458
1.32,0.013722175039984312
1.34,0.013876350312318169
1.36,0.014030525584652023
1.3800000000000001,0.01418470085698588
1.4000000000000001,0.014338876129319736
1.42,0.014493051401653589
1.44,0.014647226673987445
1.46,0.014801401946321301
1.48,0.014955577218655156
1.5,0.015109752490989012
1.52,0.015230155705199764
1.54,0.015350558919410517
1.56,0.015470962133621268
1.58,0.015591365347832021
1.6,0.015711768562042774
1.62,0.015832171776253526
1.6400000000000001,0.015952574990464277
