Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.01663253425036581,26142,0.042408761148328616
1.0,0.05087103315076143,26618,0.06857709057071901
1.5,0.08550704159265635,25993,0.08472426031151045
2.0,0.11827301774738783,25368,0.09468787267779477
2.5,0.13565013261222605,24737,0.10083592047683325
3.0,0.13066312378563005,24112,0.10462957385772628
3.5,0.1239079947214171,23487,0.10697044797659891
4.0,0.12390078368462508,22862,0.10841488453688314
4.5,0.1202202671784492,22210,0.10930617423070507
5.0,0.11356011419641925,21609,0.10985614460680586
5.5,0.11056565827121569,20984,0.11019550387089812
6.0,0.10668306848466087,20359,0.11040490553165981
6.5,0.09755003477133116,19731,0.11053411684300281
7.0,0.08684691000380167,19106,0.11061384669289152
7.5,0.07628285020987126,18481,0.1106630440030744
8.0,0.06525309180177523,17856,0.11069340120721574
8.5,0.06321015253203731,17162,0.11071213312243332
9.0,0.06605959463088243,16597,0.11072369165220058
9.5,0.061976210098506755,15972,0.11073082384390812
10.0,0.05603663677999158,15347,0.11073522476336561
10.5,0.05986601306339875,14722,0.11073794035106511
11.0,0.07498245153732638,14097,0.11073961600466997
