Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0.0,1.0,0.5,583.0,4.125398910412323,0.02279932561289381,114.20309100166024,139.02984991506483,309.28048287529555,121.95892855310008,109.48843025118147,76.64921865475543,160.77791504035187,1.896055286514836
1.0,1.5,1.25,53.0,3.0043411759987437,0.00621441453026738,103.5060772792239,126.00739842688121,282.89456487582066,109.7739264338101,80.99005097931834,71.96179253219795,147.08479135465177,1.8688579676307098
1.5,2.0,1.75,297.0,1.7412903650307614,0.010054076827882757,104.31353443941232,126.9903897523281,238.39214926505247,116.25292859467817,108.02081732937656,76.12045788745777,169.9976328576584,2.270091114413466
2.0,2.5,2.25,164.0,4.141232095597095,0.02928310929187566,130.54835493894237,158.9284320995821,339.3791481562096,147.71895756914557,140.42724173090647,101.1117175710666,209.61223790577594,1.9335157444441609
2.5,3.0,2.75,89.0,11.777087995632973,0.028516997727174163,146.81992576426933,178.73730093041473,515.80013806762,167.56646938423552,129.3232016020198,124.0419016941039,221.53784625959736,1.3617067045693718
3.0,3.5,3.25,160.0,1.8842010777962743,0.011033477799941967,112.44560441248763,136.8903010238979,261.0956323369845,124.33478525914501,110.1146106513242,92.25275945376085,201.5472086574638,2.1906930001086455
3.5,4.0,3.75,161.0,6.482190011696648,0.013733346945148113,138.01007722907153,168.0122679310435,423.4359205716672,149.038634158108,109.58353297741314,116.80758568986208,217.0096538882529,1.5796831000938696
4.0,4.5,4.25,183.0,0.7446943864743688,0.011503065740092506,101.48311594616665,123.54466289098553,189.86174743271775,114.06889824924605,119.1736467154086,87.27911991683942,215.43073451389765,2.7915079795589994
4.5,5.0,4.75,201.0,3.0423876557724303,0.026923915789026115,137.92462188076144,167.90823533310063,327.12543807264177,154.40908538989254,152.56836981359928,118.31504599217132,250.08659766524826,2.1033124522801914
5.0,5.5,5.25,218.0,12.124857437485398,0.04675118956401499,175.623142987905,213.80208711571035,556.0864161695985,193.2167486436251,166.79369793830608,155.41880620720278,278.4235728909737,1.4985664208181217
