d,vs
1,386
1.5,357
2,303
2.5,240
3,148
3.5,112
4,272
4.5,176
5,186
5.5,156
6,132
6.5,128
7,106
7.5,116
8,122
8.5,164
9,166
9.5,118
10,130
10.5,124
11,123
11.5,156
12,141
12.5,139
13,146
13.5,138
14,150
14.5,150
15,149
15.5,146
16,160
16.5,161
17,164
17.5,162
18,174
18.5,195
19,192
19.5,192
20,182
20.5,180
21.5,196
22,209
22.5,225
23,230
23.5,221
24,266
24.5,274
25,286
25.5,296
26,288
26.5,245
27,239
27.5,263
28,298
28.5,310
29,302
29.5,264
30,256
