Depth,Qc,Fs,u
3.5,0.9654,0.0406,0.0029
3.51,0.8766,0.0406,0.0032
3.52,0.865,0.0405,0.0027
3.53,0.8611,0.0407,0.0017
3.54,0.7994,0.0407,0.0013
3.55,0.7221,0.0408,0.0009
3.56,0.6989,0.0403,0.0006
3.57,0.6681,0.0399,0.0004
3.58,0.6372,0.0391,0.0004
3.59,0.6333,0.0368,0.0003
3.6,0.6063,0.0363,0.0003
3.61,0.5792,0.0353,0.0003
3.62,0.5561,0.0318,0.0004
3.63,0.5522,0.0303,0.0004
3.64,0.5522,0.0285,0.0006
3.65,0.5522,0.026,0.0006
3.66,0.5522,0.0252,0.0008
3.67,0.5522,0.0249,0.0009
3.68,0.5599,0.0248,0.0009
3.69,0.5715,0.025,0.0011
3.7,0.587,0.0252,0.0011
3.71,0.5947,0.0258,0.0012
3.72,0.614,0.0258,0.0012
3.73,0.6333,0.0266,0.0013
3.74,0.6372,0.0269,0.0013
3.75,0.6294,0.0269,0.0014
3.76,0.6179,0.0268,0.0014
3.77,0.5754,0.0268,0.0015
3.78,0.5638,0.0266,0.0015
3.79,0.5445,0.0256,0.0014
3.8,0.543,0.0252,0.0014
3.81,0.5438,0.0251,0.0013
3.82,0.5445,0.0249,0.0013
3.83,0.5522,0.0247,0.0009
3.84,0.5754,0.0245,0.0011
3.85,0.5754,0.0244,0.0004
3.86,0.5638,0.0242,-0.0004
3.87,0.5561,0.0242,-0.0012
3.88,0.5566,0.0241,-0.0013
3.89,0.5571,0.0241,-0.0014
3.9,0.5582,0.024,-0.0013
3.91,0.5638,0.0213,-0.0013
3.92,0.5638,0.0204,-0.0012
3.93,0.5599,0.0189,-0.0012
3.94,0.5445,0.0177,-0.0013
3.95,0.5136,0.0159,-0.0014
3.96,0.4402,0.0146,-0.0014
3.97,0.4132,0.0141,-0.0013
3.98,0.3939,0.0134,-0.0013
3.99,0.3886,0.0129,-0.0012
4,0.3889,0.0127,-0.0012
4.01,0.3892,0.0127,-0.0011
4.02,0.39,0.0119,-0.001
4.03,0.3939,0.0118,-0.001
4.04,0.3977,0.0119,-0.001
4.05,0.4016,0.0119,-0.0009
4.06,0.3996,0.0119,-0.0008
4.07,0.3987,0.0125,-0.0008
4.08,0.3982,0.0138,-0.0006
4.09,0.3999,0.0148,-0.0007
4.1,0.4016,0.015,-0.0006
4.11,0.4171,0.0148,-0.0006
4.12,0.4248,0.0146,-0.0006
4.13,0.4364,0.015,-0.0006
4.14,0.4479,0.0154,-0.0007
4.15,0.4479,0.0168,-0.0008
4.16,0.4518,0.0196,-0.0008
4.17,0.4518,0.0198,-0.0008
4.18,0.4634,0.0198,-0.0009
4.19,0.4595,0.0198,-0.0009
4.2,0.4557,0.0198,-0.0008
4.21,0.4458,0.0199,-0.0007
4.22,0.4484,0.02,-0.0002
4.23,0.451,0.0203,-0.0002
4.24,0.4595,0.0209,-0.0001
4.25,0.4479,0.0208,0
4.26,0.4469,0.0222,0
4.27,0.4478,0.0235,0
4.28,0.4487,0.025,0
4.29,0.4557,0.0257,0.0001
4.3,0.475,0.0257,0.0001
4.31,0.4827,0.0255,0.0002
4.32,0.4943,0.0254,0.0002
4.33,0.5097,0.0248,0.0002
4.34,0.5175,0.0233,0.0002
4.35,0.5213,0.0226,0.0002
4.36,0.529,0.0221,0.0002
4.37,0.5329,0.0217,0.0002
4.38,0.5368,0.0215,0.0002
4.39,0.529,0.0215,0.0002
4.4,0.5175,0.0213,0.0002
4.41,0.4981,0.0198,0.0002
4.42,0.4788,0.0183,0.0002
4.43,0.4673,0.0183,0.0002
4.44,0.4595,0.0172,0.0003
4.45,0.4479,0.0161,0.0003
4.46,0.4402,0.016,0.0004
4.47,0.4209,0.016,0.0004
4.48,0.4166,0.016,0.0004
4.49,0.415,0.0161,0.0005
4.5,0.416,0.0162,0.0005
4.51,0.4171,0.0166,0.0006
4.52,0.4248,0.0183,0.0006
4.53,0.4402,0.019,0.0009
4.54,0.4518,0.0197,0.0009
4.55,0.4904,0.0204,0.0009
4.56,0.5097,0.0219,0.0009
4.57,0.5175,0.0227,0.0006
4.58,0.5213,0.023,0.0004
4.59,0.5252,0.0239,0.0003
4.6,0.5406,0.0261,0.0002
4.61,0.5561,0.0287,0.0002
4.62,0.5754,0.029,0.0002
4.63,0.5522,0.0292,0
4.64,0.5329,0.029,-0.0002
4.65,0.5059,0.0289,-0.0004
4.66,0.4788,0.0282,-0.0008
4.67,0.4634,0.0267,-0.001
4.68,0.4325,0.0257,-0.0012
4.69,0.4171,0.0239,-0.0012
4.7,0.417,0.0234,-0.0012
4.71,0.4171,0.0223,-0.0012
4.72,0.4171,0.0212,-0.0012
4.73,0.4171,0.0191,-0.0012
4.74,0.4248,0.0184,-0.0012
4.75,0.4325,0.0184,-0.0011
4.76,0.4441,0.0176,-0.001
4.77,0.4673,0.0176,-0.001
4.78,0.502,0.0175,-0.0009
4.79,0.5599,0.0174,-0.0008
