Depth,Qc,Fs,u
25.9,24.545,0.2082,0.1633
25.91,24.361,0.2339,0.1595
25.92,24.353,0.2339,0.1578
25.93,24.108,0.2387,0.1558
25.94,23.757,0.2402,0.1541
25.95,23.287,0.2389,0.1529
25.96,23.218,0.2376,0.1508
25.97,22.368,0.2285,0.1501
25.98,21.368,0.22,0.1449
25.99,21.368,0.22,0.1449
26,21.1087,0.2147,0.1443
26.01,21.0421,0.2175,0.144
26.02,21.1547,0.2144,0.1439
26.03,21.2672,0.2138,0.1442
26.04,21.87,0.2143,0.1445
26.05,22.348,0.2148,0.1451
26.06,22.348,0.2158,0.1451
26.07,23.769,0.2161,0.1437
26.08,23.969,0.2186,0.1431
26.09,24.353,0.221,0.143
26.1,25.075,0.2218,0.1429
26.11,24.761,0.2236,0.1429
26.12,25.267,0.2259,0.1433
26.13,25.3,0.2269,0.1426
26.14,25.312,0.2264,0.142
26.15,25.606,0.2258,0.1416
26.16,25.459,0.2245,0.1399
26.17,25.161,0.2214,0.1395
26.18,25.329,0.2214,0.1385
26.19,25.1185,0.22,0.1376
26.2,25.0297,0.2187,0.137
26.21,24.941,0.2175,0.1362
26.221,24.998,0.2158,0.1358
26.231,24.896,0.213,0.1354
26.241,24.855,0.2103,0.1358
26.251,24.622,0.2089,0.1347
26.261,24.622,0.2088,0.1347
26.271,24.087,0.2086,0.1339
26.281,23.528,0.2085,0.1329
26.291,23.193,0.2081,0.1326
26.301,23.042,0.2076,0.132
26.311,22.9605,0.2063,0.1317
26.321,22.879,0.2071,0.1314
26.331,22.879,0.2031,0.1314
26.341,22.303,0.1996,0.1308
26.351,22.256,0.1994,0.1304
26.361,22.209,0.1988,0.1304
26.371,22.107,0.1981,0.1304
26.381,22.005,0.1984,0.1304
26.391,21.895,0.1975,0.1308
26.401,21.809,0.1965,0.131
26.411,21.687,0.1941,0.1314
26.421,21.723,0.187,0.1316
26.431,21.5375,0.1841,0.1329
26.441,21.4524,0.1838,0.132
26.451,21.444,0.1837,0.1326
26.461,21.4357,0.1838,0.1329
26.471,21.454,0.184,0.1335
26.481,21.425,0.1858,0.1337
26.491,21.3899,0.1873,0.1772
26.501,21.3899,0.189,0.1818
26.511,21.4074,0.1883,0.1814
26.521,21.425,0.1892,0.1793
26.531,21.687,0.1901,0.1782
26.541,21.809,0.1903,0.1766
26.551,21.7765,0.1905,0.1764
26.561,21.805,0.1924,0.1751
26.571,21.8335,0.1946,0.1737
26.581,21.923,0.1967,0.172
26.591,21.96,0.1967,0.1714
26.601,21.96,0.1968,0.1708
26.611,21.9845,0.1969,0.1705
26.621,22.009,0.1997,0.1695
26.631,22.044,0.1987,0.1683
26.641,22.079,0.201,0.1664
26.651,22.201,0.202,0.1655
26.661,22.217,0.2023,0.1658
26.671,22.262,0.202,0.1651
26.681,22.279,0.2017,0.1639
26.691,22.2709,0.1996,0.1641
26.701,22.279,0.1979,0.1637
26.711,22.287,0.1958,0.1626
26.721,22.303,0.1936,0.1624
26.731,22.319,0.1936,0.1616
26.741,22.319,0.1898,0.1616
26.751,21.617,0.1893,0.1615
26.761,21.409,0.1893,0.1614
26.771,21.352,0.1893,0.164
26.781,21.2745,0.1907,0.1665
26.791,21.197,0.1909,0.1715
26.801,21.152,0.1911,0.1817
26.811,21.0117,0.192,0.202
26.821,21.0483,0.1916,0.2051
26.831,21.0849,0.1912,0.2018
26.841,21.184,0.1902,0.1989
26.851,21.478,0.1897,0.1964
26.861,21.711,0.1859,0.1949
26.871,22.128,0.1822,0.1947
26.881,22.426,0.1827,0.193
26.891,22.377,0.1812,0.193
26.901,22.328,0.1808,0.1872
26.911,22.381,0.1789,0.181
26.921,22.287,0.179,0.1793
26.931,21.715,0.1787,0.1791
26.941,21.593,0.1783,0.1793
26.951,20.707,0.1775,0.1762
26.961,20.617,0.1773,0.1747
26.971,20.392,0.1748,0.1747
26.981,19.988,0.1743,0.1747
26.991,19.102,0.171,0.1747
27.001,19.102,0.1707,0.1747
27.011,18.036,0.1683,0.1747
27.021,18.045,0.1677,0.1749
27.031,17.816,0.1649,0.1753
27.041,17.698,0.1634,0.1762
27.051,17.542,0.1621,0.1768
27.061,17.3981,0.1607,0.1776
27.071,17.3364,0.16,0.1778
27.081,17.3312,0.1575,0.1791
27.091,17.4101,0.1567,0.1797
27.101,17.489,0.1555,0.1812
27.111,17.448,0.1553,0.182
27.121,17.4725,0.1551,0.1824
27.131,17.497,0.1552,0.1837
27.141,17.693,0.1549,0.1835
27.151,17.873,0.1548,0.1843
27.161,17.922,0.1548,0.1843
27.171,17.9385,0.1548,0.1845
27.181,17.955,0.1548,0.1849
27.191,18.0305,0.155,0.1851
27.201,18.106,0.1562,0.1851
27.211,18.179,0.1563,0.1853
27.221,18.22,0.1562,0.1855
27.231,18.306,0.1562,0.186
27.241,18.2875,0.1562,0.187
27.251,18.4333,0.1563,0.1874
27.261,18.579,0.1569,0.1878
27.271,18.604,0.1576,0.1887
27.281,19.6,0.1584,0.1899
27.291,19.714,0.1584,0.1907
27.301,19.727,0.1585,0.1912
27.311,19.51,0.1586,0.1912
27.321,19.151,0.1595,0.1914
27.331,18.522,0.1628,0.1916
27.341,18.3638,0.163,0.1921
27.351,18.3888,0.1628,0.1926
27.361,18.4138,0.1626,0.1926
27.371,18.4847,0.1606,0.1929
27.381,18.637,0.1562,0.1931
27.391,18.845,0.1511,0.1937
27.401,18.98,0.1509,0.1937
27.411,18.694,0.1506,0.1937
27.421,18.375,0.1483,0.1899
27.431,18.04,0.1474,0.1806
27.441,18.04,0.1477,0.1806
27.451,17.51,0.1452,0.18
27.461,16.967,0.1428,0.1802
27.471,16.485,0.1403,0.1803
27.481,13.904,0.1402,0.1907
27.491,13.802,0.14,0.1912
27.501,13.713,0.14,0.1914
27.511,13.018,0.1375,0.1914
27.521,12.582,0.1337,0.1926
27.531,12.426,0.1337,0.1928
27.541,11.949,0.1303,0.1928
27.551,11.8425,0.1288,0.1926
27.561,11.736,0.1298,0.1926
27.571,11.736,0.1258,0.1926
27.581,11.508,0.1239,0.1926
27.591,11.4769,0.1223,0.1926
27.601,11.4635,0.1178,0.1928
27.611,11.4773,0.1167,0.193
27.621,11.491,0.1144,0.1939
27.631,11.504,0.1144,0.1939
27.641,11.4483,0.1098,0.1939
27.651,11.4209,0.1094,0.1939
27.661,11.4134,0.1094,0.194
27.671,11.406,0.1089,0.1943
