TYPE,CODE,CODE_CPT,gwl,a
SCPT,14526,x,12.53,0.8
SCPT,14538,x,3.85,0.8
SCPT,14539,x,8.49,0.8
SCPT,14540,x,3.7,0.8
SCPT,14541,x,8.95,0.8
SCPT,14543,x,1,0.8
SCPT,14548,x,10.9,0.8
SCPT,14550,x,18.32,0.8
SCPT,14552,x,1.52,0.8
SCPT,14556,x,1.61,0.8
SCPT,14651,x,1.33,0.8
SCPT,36413,x,1.8,0.81
SCPT,57279,x,0.2,0.58
SCPT,57280,x,1,0.58
SCPT,57339,x,1.2,0.58
SCPT,57341,x,1,0.58
SCPT,57342,x,1,0.58
SCPT,57343,x,2.2,0.58
SCPT,57345,x,1.2,0.58
SCPT,57346,x,1.2,0.58
SCPT,57347,x,1,0.58
SCPT,57348,x,1,0.58
SCPT,57349,x,2,0.58
SCPT,57350,x,2.2,0.58
SCPT,57351,x,1.1,0.58
SCPT,57353,x,1,0.58
SCPT,57354,x,1,0.58
SCPT,57355,x,1,0.58
SCPT,57356,x,1.1,0.58
SCPT,57357,x,1,0.58
SCPT,57358,x,1.6,0.58
SCPT,57359,x,0.6,0.58
SCPT,57360,x,1,0.58
SCPT,57362,x,1.1,0.58
SCPT,57363,x,3,0.58
SCPT,57364,x,1,0.58
SCPT,57365,x,0.8,0.58
SCPT,57366,x,2.2,0.58
SCPT,61758,x,1.8,0.58
SCPT,94658,x,3.2,0.8
SCPT,114319,x,1,0.8
SCPT,114322,x,1,0.8
SCPT,124801,x,7,0.81
SCPT,124802,x,9.8,0.81
SCPT,125043,x,2.5,0.75
SCPT,126232,x,4,0.81
SCPT,128450,x,4,0.81
SCPT,136515,x,2,0.81
SCPT,140250,x,3.3,0.81
SCPT,140251,x,16.5,0.81
SCPT,140253,x,2.65,0.81
SCPT,140254,x,2.8,0.81
SCPT,140257,x,0,0.81
SCPT,140260,x,2.7,0.81
SCPT,140262,x,2.7,0.81
SCPT,140263,x,6.5,0.81
SCPT,148992,x,2,0.8
SCPT,148995,x,1.7,0.8
SCPT,148998,x,2.1,0.8
SCPT,148999,x,1.7,0.8
SCPT,154032,x,2.4,0.8
SCPT,154771,x,1,0.75
SCPT,154775,x,0,0.75
SCPT,156296,x,0,0.8
SCPT,156298,x,0,0.8
SCPT,156300,x,0,0.8
SCPT,156301,x,3.5,0.8
SCPT,156307,x,10.25,0.8
SCPT,156308,x,10.25,0.8
SCPT,156310,x,10.3,0.8
