File Name,,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,1.66,3.0979,0.0792,82.5,3.0979,0.0792,-0.0566,7,2,136.1569382,165.7562726,294.2692562,169.7791782,233.0397857,96.89821267,220.6557627,2.397150856,-0.501009885,-0.697720179,-1.271696892,-0.721700347,-1.0384109,-0.16086278,-0.983805559
SCPT_140250_Raw01_result.csv,140250,1.67,3.0613,0.0787,82.5,3.0613,0.0787,-0.0565,7,2,135.9049076,165.4494528,293.1065685,169.6009046,232.8771243,96.84324944,220.7900213,2.402705937,-0.499157139,-0.695867434,-1.267737965,-0.720649763,-1.037712658,-0.160295393,-0.984413827
SCPT_140250_Raw01_result.csv,140250,1.68,3.0728,0.0773,82.5,3.0728,0.0773,-0.052,7,2,135.8210511,165.3473666,293.7330338,169.3576035,230.9334458,96.9120186,220.6145195,2.394935917,-0.498539925,-0.69525022,-1.269873013,-0.719214183,-1.029331262,-0.161005249,-0.98361863
SCPT_140250_Raw01_result.csv,140250,1.69,3.0842,0.0745,82.5,3.0842,0.0745,-0.0504,7,2,135.4425558,164.8865897,294.3341711,168.5148968,226.7489424,96.82685419,219.8948519,2.3817555,-0.495749315,-0.692459609,-1.271917465,-0.714225861,-1.011045131,-0.160126082,-0.980351193
SCPT_140250_Raw01_result.csv,140250,1.7,3.1222,0.0679,82.5,3.1222,0.0679,-0.0494,7,2,134.3965834,163.613232,295.8981888,166.1253379,216.1211,96.41179264,217.6032676,2.347118535,-0.487996714,-0.684707008,-1.277217145,-0.699944258,-0.963040605,-0.155830231,-0.969875238
SCPT_140250_Raw01_result.csv,140250,1.71,3.2075,0.0639,82.5,3.2075,0.0639,-0.0484,7,2,134.1328804,163.2922022,299.1502075,165.035957,209.2375863,96.45734699,216.2561745,2.312901541,-0.48603266,-0.682742954,-1.28814752,-0.693365078,-0.930672089,-0.156302617,-0.963665405
SCPT_140250_Raw01_result.csv,140250,1.72,3.4267,0.0633,82.5,3.4267,0.0633,-0.0475,7,2,135.4166025,164.8549943,307.0052622,166.2302203,207.2141755,97.46156826,216.4158266,2.269186512,-0.495557677,-0.692267972,-1.314066595,-0.700575403,-0.920954629,-0.166659835,-0.964403387
SCPT_140250_Raw01_result.csv,140250,1.73,3.6134,0.0628,82.5,3.6134,0.0628,-0.0463,7,2,136.437642,166.097999,313.4941626,167.2306249,205.6277924,98.3026442,216.5951621,2.234027248,-0.503069382,-0.699779676,-1.334982447,-0.706575554,-0.913269408,-0.175252633,-0.965231705
SCPT_140250_Raw01_result.csv,140250,1.74,3.6987,0.0619,82.5,3.6987,0.0619,-0.0512,7,2,136.7547365,166.4840271,316.4576327,167.4683381,203.9658646,98.67335828,216.5419598,2.215652683,-0.505390784,-0.702101078,-1.344391077,-0.707996014,-0.905154356,-0.17901669,-0.964986045
SCPT_140250_Raw01_result.csv,140250,1.75,3.512,0.0591,82.5,3.512,0.0591,-0.0718,7,2,135.1012682,164.4711092,310.2846296,165.3197739,200.532862,97.72012425,215.4725035,2.235373053,-0.493226339,-0.689936633,-1.324691743,-0.695083329,-0.88817984,-0.169309225,-0.960035014
