File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SDMT,66983,10,10.5,10.25,230,8,1,2.156814913,0.072079142,168.074068,204.6119088,309.7947182,183.81835,255.6658989,151.354529,344.5036631,2.728467225,0.313674546,0.116964252,-0.29783057,0.224131267,-0.105792201,0.41845435,-0.404025415
SDMT,66983,10.5,11,10.75,268,8,1,2.117391849,0.051763654,165.3794626,201.3315197,311.5439884,173.8838913,218.0638449,148.8201591,333.9483011,2.660472802,0.482744374,0.286034079,-0.150553563,0.432599195,0.206199094,0.588248389,-0.219999213
SDMT,66983,11,11.5,11.25,228,8,1,2.669775186,0.027178711,162.8382599,198.2378816,339.7329577,160.5858917,159.1317855,147.7161432,311.206825,2.368450573,0.336588191,0.139877897,-0.398814262,0.350516679,0.35961293,0.434053148,-0.311112094
SDMT,66983,11.5,12,11.75,278,8,1,8.725096054,0.069528002,210.6549004,256.449444,531.362145,213.1187803,214.9765817,191.6893649,358.6466193,1.889623214,0.277399862,0.080689568,-0.647822681,0.265771449,0.257092014,0.371744943,-0.254716443
SDMT,66983,12,12.5,12.25,321,8,1,14.62642074,0.103573682,234.5865543,285.5836313,650.0475718,242.7792605,248.0167594,215.9273046,383.1864502,1.690116224,0.313616502,0.116906208,-0.705604424,0.279288486,0.257944801,0.396499325,-0.177080563
SDMT,66983,12.5,13,12.75,287,8,1,16.68786667,0.131209006,247.5247766,301.3345107,686.309268,258.1882856,276.231464,226.9401089,399.5625081,1.683993485,0.147971531,-0.048738763,-0.871846138,0.105793108,0.038243064,0.234796071,-0.330888003
SDMT,66983,13,13.5,13.25,295,8,1,18.17153728,0.116865229,246.3956137,299.9598776,711.589602,256.5209314,258.8731692,229.9912869,397.6957674,1.606774308,0.180036926,-0.016673368,-0.880525987,0.139765091,0.130637109,0.248933931,-0.298711953
SDMT,66983,13.5,14,13.75,330,8,1,7.340368874,0.094403768,223.5308144,272.1244697,504.8921427,222.0489809,251.9879711,200.3562511,387.8459356,2.128965865,0.389543378,0.192833084,-0.425252173,0.396194662,0.269711302,0.498995617,-0.161515533
SDMT,66983,14,14.5,14.25,293,8,1,9.364676815,0.079915392,226.5082877,275.7492199,556.3020229,223.2751942,228.3086998,206.701238,383.6734266,1.933547861,0.257391074,0.06068078,-0.641138744,0.271767544,0.249473949,0.348898153,-0.26961913
SDMT,66983,14.5,15,14.75,311,8,1,10.65172485,0.085568649,233.9336559,284.7887985,586.420247,230.0538333,233.2530539,213.8089485,390.8637882,1.885374376,0.284755359,0.088045065,-0.634243765,0.301479573,0.28766898,0.37471006,-0.228566219
SDMT,66983,15,15.5,15.25,310,8,1,11.38236416,0.084397446,235.0537057,286.1523373,603.4555909,232.0257155,230.8011739,217.6229271,393.663366,1.833277465,0.276758275,0.080047981,-0.666100154,0.289724089,0.295015677,0.353808425,-0.238923846
SDMT,66983,15.5,16,15.75,372,8,1,3.754940564,0.046499556,196.8873741,239.6889772,396.8447857,182.1067977,190.7090256,178.1392031,364.2945232,2.426064197,0.636261994,0.4395517,-0.064651382,0.714300539,0.668145014,0.73632857,0.020931184
SDMT,66983,16,16.5,16.25,297,8,1,1.492893912,0.030020701,167.2180327,203.569779,285.1942865,149.6072863,167.5055591,151.732718,344.524436,2.947672835,0.574433593,0.377723298,0.040561484,0.685718369,0.572715599,0.6716116,-0.148432881
SDMT,66983,16.5,17,16.75,299,8,1,1.388169764,0.019717342,162.348373,197.6414976,280.1416881,139.7590911,142.1444543,146.2303626,328.5360113,2.910014646,0.610699096,0.413988802,0.065148069,0.760523411,0.743599749,0.715260369,-0.094202882
SDMT,66983,17,17.5,17.25,230,8,1,1.374790773,0.028077687,167.3456318,203.725117,279.7827676,146.6294069,164.1015721,151.6093641,346.5306235,3.010649849,0.318017984,0.121307689,-0.195934163,0.450170947,0.337593731,0.416772069,-0.409891885
SDMT,66983,17.5,18,17.75,299,8,1,1.418803898,0.027143727,168.9459529,205.673334,283.6324341,146.0048066,160.1528619,153.0834874,347.5950697,2.993429324,0.570864715,0.374154421,0.05276442,0.71680403,0.624314827,0.669460132,-0.150594636
SDMT,66983,18,18.5,18.25,334,8,1,2.31091297,0.040161943,188.7773714,229.8159305,338.9292852,165.8550274,182.4190929,170.9674758,369.6695069,2.76078403,0.570572601,0.373862307,-0.014650494,0.700026915,0.604834245,0.669667655,-0.101468389
SDMT,66983,18.5,19,18.75,348,8,1,4.592053593,0.057047571,216.0916971,263.068153,437.8241125,193.3456654,202.9926382,195.7821454,391.5671036,2.393516235,0.476499639,0.279789344,-0.22961478,0.58772288,0.539032766,0.575199942,-0.117954422
SDMT,66983,19,19.5,19.25,343,8,1,11.04705795,0.053299307,235.9901771,287.2923895,610.6910088,219.7445652,191.9485309,222.5359674,393.2628546,1.806560916,0.373940265,0.177229971,-0.57686067,0.445264643,0.580503179,0.432641707,-0.136747782
SCPT,196093,1.5,2,1.75,136,1,1,1.846188639,0.042174753,117.6943825,143.2801179,243.1008072,141.4746872,176.0019704,86.53841688,205.0759576,2.534275434,0.1445636,-0.052146695,-0.580821316,-0.039465926,-0.257840305,0.452066445,-0.41072555
SCPT,196093,2,2.5,2.25,154,1,1,2.342452884,0.041365482,126.0491866,153.4511836,272.9317178,154.5073374,181.9575909,95.85597055,218.317303,2.381990701,0.200280402,0.003570108,-0.572269044,-0.003288984,-0.16682104,0.474105844,-0.34899692
SCPT,196093,2.5,3,2.75,178,1,1,1.984974038,0.035503638,124.2373133,151.2454249,261.4202761,155.4243709,180.8418108,97.74953114,224.9560161,2.450111924,0.359589997,0.162879702,-0.384345815,0.135624298,-0.015839125,0.599375148,-0.234121349
SCPT,196093,3,3.5,3.25,194,1,1,1.243985299,0.036881576,117.4567883,142.9908727,222.517574,152.6462877,198.37698,96.0537871,235.0580315,2.754675565,0.501787652,0.305077358,-0.137147924,0.239734759,-0.022311001,0.702949842,-0.191974267
SCPT,196093,3.5,4,3.75,184,1,1,1.179380731,0.036047123,118.6514355,144.4452258,221.2878749,152.7292169,199.2069497,99.01160818,242.9320424,2.793440578,0.438745676,0.242035382,-0.184528698,0.186269228,-0.079408475,0.61969866,-0.277845986
SCPT,196093,4,4.5,4.25,217,1,1,1.834152504,0.043014577,133.9192029,163.032073,265.0312068,164.5816552,204.8732104,110.8722317,257.4356651,2.592194253,0.482660699,0.285950405,-0.199950227,0.276490522,0.057506052,0.671518881,-0.170872491
SCPT,196093,4.5,5,4.75,201,1,1,2.391147681,0.051281815,145.532502,177.1700025,296.4668093,174.2892658,215.5567091,120.559626,271.4523399,2.494186215,0.322905465,0.12619517,-0.388630362,0.142588542,-0.069919118,0.511160456,-0.300481672
SCPT,196093,5,5.5,5.25,223,1,1,2.098734734,0.056544418,146.4467878,178.2830461,284.9205124,175.4645354,229.1637187,122.6511365,281.7130077,2.620832025,0.420509632,0.223799337,-0.245038466,0.239734826,-0.027264905,0.597827735,-0.233717078
SCPT,196093,5.5,6,5.75,270,1,1,3.028837264,0.062399843,160.5109629,195.4046505,330.5990226,185.0889263,229.0117256,133.7107444,292.7930382,2.4431461,0.520059714,0.32334942,-0.20248427,0.377585567,0.164648753,0.702743116,-0.081044046
SCPT,196093,6,6.5,6.25,276,1,1,2.815611165,0.064053797,161.5723904,196.6968231,324.1838822,184.8268642,233.3433613,135.7141974,299.9009113,2.511174241,0.535447586,0.338737291,-0.160910027,0.400981348,0.167889843,0.709849681,-0.083051259
SCPT,196093,6.5,7,6.75,302,1,1,2.544324419,0.067045113,161.922122,197.1225833,314.2786837,184.5169414,240.7265774,137.1633464,307.3944308,2.602510414,0.623311526,0.426601232,-0.039853103,0.492685735,0.226765262,0.789254492,-0.017704696
SCPT,196093,7,7.5,7.25,281,1,1,2.492752717,0.064506095,163.0882255,198.5421875,314.062991,182.8701331,235.7859144,139.0603134,311.3946795,2.62066042,0.544063354,0.34735306,-0.111238905,0.429578424,0.175430418,0.703446921,-0.102706504
SCPT,196093,7.5,8,7.75,292,1,1,3.119803857,0.065609509,172.1603533,209.5865171,344.372314,187.9287444,231.1057758,146.5235349,317.925469,2.501133742,0.528327473,0.331617179,-0.164969578,0.44069093,0.233878293,0.689567739,-0.085063179
SCPT,196093,8,8.5,8.25,274,1,1,2.625117144,0.074355598,171.4705132,208.7467118,324.4332751,188.3271577,249.2035377,146.9524308,327.8775155,2.660413583,0.468716789,0.272006495,-0.168951785,0.374947455,0.094858123,0.623019172,-0.179512004
SCPT,196093,8.5,9,8.75,267,1,1,3.068195982,0.077727192,179.1087192,218.0453973,346.3116255,193.1448265,249.6382156,153.3343059,335.110045,2.58798735,0.399255667,0.202545373,-0.260090363,0.323808355,0.067235926,0.554628115,-0.227210312
SCPT,196093,9,9.5,9.25,274,1,1,2.754576734,0.07720023,177.7732927,216.4196607,334.2172998,190.2850021,250.3394069,153.2376486,339.2873281,2.668881657,0.432619004,0.23590871,-0.198663273,0.364605147,0.090310482,0.581138131,-0.213719218
SCPT,196093,9.5,10,9.75,284,1,1,2.903961614,0.081313973,182.3903508,222.040427,342.8583071,193.0338552,254.3058788,157.3621681,346.3036892,2.663344543,0.442825063,0.246114769,-0.188343025,0.386108649,0.110436448,0.590424286,-0.198341866
SCPT,196093,10,10.5,10.25,290,1,1,3.589191012,0.084748456,191.9094679,233.6289175,373.5637349,199.536174,253.5875482,165.0754974,353.1607968,2.552137074,0.412857184,0.216146889,-0.253207709,0.37388538,0.134171802,0.563477994,-0.197042545
SCPT,196093,10.5,11,10.75,292,1,1,2.716407174,0.089069679,185.9067446,226.3212543,337.6053416,193.9538378,264.9959052,161.3634457,359.0223754,2.761321836,0.451508627,0.254798333,-0.145123783,0.409133621,0.097039428,0.593094555,-0.206630911
SCPT,196093,11,11.5,11.25,293,1,1,3.534176009,0.0959646,197.7128031,240.6938472,375.6150533,203.2487831,267.8575477,170.7824833,367.4305131,2.614777926,0.393357121,0.196646827,-0.248392216,0.365741848,0.089717308,0.53978189,-0.226361612
SCPT,196093,11.5,12,11.75,272,1,1,2.570607896,0.084570521,187.3325146,228.0569743,333.9699071,190.2249152,256.6772789,163.3925258,364.5835009,2.812998862,0.372916876,0.176206581,-0.205248824,0.35759493,0.057982495,0.509646627,-0.292953542
SCPT,196093,12,12.5,12.25,302,1,1,3.379496432,0.090553191,199.0825486,242.3613635,372.1353893,199.5147007,259.0543997,172.9177914,372.4917781,2.65722118,0.416707462,0.219997167,-0.20883072,0.414539096,0.15338894,0.55761073,-0.209787948
SCPT,196093,12.5,13,12.75,267,1,1,2.741863004,0.075274797,190.8677187,232.360701,344.9656394,187.7455727,239.8811801,167.0840765,366.7834037,2.762355471,0.335668043,0.138957748,-0.256196158,0.352160949,0.107104941,0.468751521,-0.317522835
SCPT,196093,13,13.5,13.25,280,1,1,2.385690905,0.069197658,186.9992152,227.6512185,328.6203335,181.1772893,231.6054532,164.3785438,365.9642022,2.851245438,0.403685183,0.206974889,-0.16011348,0.435313552,0.189754312,0.532617641,-0.267745917
