Depth,Qc,Fs,u
5.65,3.16,0.004,0.001
5.66,3.14,0.003,0.001
5.67,3.09,0.004,0.001
5.68,3.01,0.003,0.001
5.69,3,0.003,0.001
5.7,3.02,0.002,0.002
5.71,3.03,0.001,0.002
5.72,2.92,0.005,0.001
5.73,2.64,0.008,0.001
5.74,2.71,0.008,0.002
5.75,2.71,0.01,0.002
5.76,2.79,0.018,0.015
5.77,2.87,0.012,0.004
5.78,2.75,0.002,0.002
5.79,2.67,0,0.006
5.8,2.62,0,0.004
5.81,2.6,0.001,0.004
5.82,2.45,0.008,0.004
5.83,2.37,0.023,0.002
5.84,2.4,0.019,0.004
5.85,2.29,0.017,0.004
5.86,2.11,0.017,0.004
5.87,2.11,0.013,0.003
5.88,2.37,0.006,0.006
5.89,2.16,0.003,0.003
5.9,2,0.001,0.003
5.91,1.87,0.001,0.008
5.92,1.44,0.004,0.001
5.93,1.25,0.016,0.003
5.94,1.25,0.016,0.004
5.95,1.26,0.016,0.004
5.96,1.27,0.015,0.004
5.97,1.19,0.015,0.003
5.98,1.55,0.011,0.006
5.99,1.45,0.01,0.006
6,1.48,0.009,0.011
6.01,1.53,0.006,0.003
6.02,1.46,0.003,0.005
6.03,1.34,0.003,0.005
6.04,1.16,0.002,0.004
6.05,0.98,0.002,0.003
6.06,0.98,0.002,0.003
6.07,0.97,0.001,0.004
6.08,0.87,0.001,0.004
6.09,0.76,0.002,0.004
6.1,0.69,0,0.004
6.11,0.68,0,0.004
6.12,0.64,0,0.004
6.13,0.6,0,0.004
6.14,0.55,0.001,0.004
6.15,0.52,0.001,0.005
6.16,0.48,0.001,0.004
6.17,0.42,0.001,0.004
6.18,0.37,0,0.004
6.19,0.36,0,0.005
6.2,0.37,0,0.005
6.21,0.36,0,0.005
6.22,0.32,0.001,0.005
6.23,0.35,0.001,0.005
6.24,0.37,0.002,0.005
6.25,0.33,0.002,0.005
6.26,0.29,0.002,0.005
6.27,0.26,0.001,0.005
6.28,0.26,0.001,0.006
6.29,0.25,0,0.006
6.3,0.24,0,0.006
6.31,0.22,0,0.006
6.32,0.19,0,0.006
6.33,0.18,0,0.006
6.34,0.16,0,0.018
6.35,0.14,0.001,0.009
6.36,0.1,0,0.003
6.37,0.08,0,0.004
6.38,0.07,0,0.006
6.39,0.06,0.002,0.007
6.4,0.06,0.002,0.007
6.41,0.06,0.002,0.007
6.42,0.05,0.002,0.007
6.43,0.05,0.002,0.007
6.44,0.05,0.002,0.007
6.45,0.04,0.002,0.007
6.46,0.03,0.002,0.008
6.47,0.02,0.003,0.01
6.48,0.01,0.003,0.011
6.49,0,0.001,0.01
6.5,0,0.001,0.012
6.51,0.01,0.001,0.013
6.52,0.01,0.001,0.015
6.53,0.02,0.002,0.013
6.54,0.07,0.003,0.009
6.55,0.08,0.002,0.005
6.56,0.07,0.003,-0.002
6.57,0.07,0.005,-0.005
6.58,0.07,0.006,-0.006
6.59,0.11,0.007,-0.012
6.6,0.13,0.007,-0.014
6.61,0.15,0.008,-0.028
6.62,0.16,0.009,-0.04
6.63,0.13,0.008,-0.047
6.64,0.09,0.008,-0.049
6.65,0.1,0.008,-0.038
6.66,0.12,0.007,-0.032
6.67,0.13,0.007,-0.039
6.68,0.14,0.008,-0.054
6.69,0.12,0.011,-0.055
6.7,0.1,0.011,-0.055
6.71,0.11,0.011,-0.053
6.72,0.11,0.011,-0.049
6.73,0.09,0.011,-0.024
6.74,0.09,0.011,-0.019
6.75,0.09,0.01,-0.015
6.76,0.09,0.009,-0.018
6.77,0.09,0.008,-0.022
6.78,0.1,0.008,-0.024
6.79,0.12,0.008,-0.024
6.8,0.13,0.01,-0.025
6.81,0.14,0.012,-0.027
6.82,0.15,0.012,-0.029
6.83,0.17,0.013,-0.028
6.84,0.17,0.014,-0.028
6.85,0.2,0.015,-0.028
6.86,0.25,0.016,-0.032
6.87,0.26,0.016,-0.039
6.88,0.19,0.016,0.004
6.89,0.15,0.016,0.018
6.9,0.12,0.016,0.019
6.91,0.12,0.016,0.016
6.92,0.13,0.015,0.013
6.93,0.13,0.014,0.012
6.94,0.13,0.01,0.012
6.95,0.17,0.006,0.009
6.96,0.18,0.006,0.004
6.97,0.16,0.006,0
6.98,0.12,0.005,0
6.99,0.11,0.004,0.004
7,0.12,0.004,0.011
7.01,0.12,0.008,0.013
7.02,0.13,0.007,0.015
7.03,0.14,0.008,0.015
7.04,0.14,0.01,0.011
7.05,0.14,0.009,0.007
7.06,0.15,0.012,0.007
7.07,0.15,0.014,0.009
7.08,0.16,0.013,0.013
7.09,0.2,0.013,0.024
7.1,0.35,0.014,0.032
7.11,0.57,0.017,0.03
