File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs
SDMT_139897_raw_result_layers_stats.csv,1,0.83,1.83,1.33,53,1.5,1.0,0.8792370766484198,0.0099059388558691,0.0031461369927605,86.65297226981241,105.49057493716296,178.68264199053883,93.72036608532808,98.58852888151311,63.5567822315597,156.85281614884707,2.5858468417436278,1.5
SDMT_139897_raw_result_layers_stats.csv,2,1.84,3.29,2.565,164,2.5,1.45,2.761371533536192,0.0121416046901777,0.0113550722284063,117.82733665757746,143.4419750613987,294.4504592305944,126.84149307703676,110.205712898095,91.70436865589645,192.20220420998845,2.023856601004593,2.5
SDMT_139897_raw_result_layers_stats.csv,3,3.3,4.68,3.9899999999999998,161,4.0,1.38,5.30025311366164,0.0164394774985604,0.0050337541299394,135.71318513097327,165.2160514637936,394.7774044068507,147.28074017531287,117.20408410801376,117.08184996420349,225.14920238678437,1.661347352803072,4.0
SDMT_139897_raw_result_layers_stats.csv,4,4.69,5.68,5.1850000000000005,201,5.0,0.9899999999999992,1.349869964746029,0.0147365734225558,0.053549698377074,117.02429766265632,142.4643623719295,242.47362661512523,128.63402209260838,127.7898235423408,102.58156064823424,235.0044824647275,2.453109539506172,5.0
SDMT_139897_raw_result_layers_stats.csv,5,5.69,7.32,6.505000000000001,203,6.5,1.63,13.685364507189458,0.0524076974232194,0.0019580539174893,186.14861843592192,226.61570940025263,594.8365970927118,201.6798981214238,174.35370542253435,169.39867429701656,298.50292930578405,1.4602040018841314,6.5
SDMT_139897_raw_result_layers_stats.csv,6,7.33,8.4,7.865,218,8.0,1.0700000000000005,11.541787825609374,0.0422675559874535,0.0065752742981627,187.0707929700849,227.7383566592337,568.0550301794298,196.79304785342092,165.13681352983662,171.25884191660396,304.3174391102808,1.5409250878297358,8.0
SDMT_139897_raw_result_layers_stats.csv,7,8.41,10.36,9.385,271,9.5,1.9499999999999995,14.311332330556493,0.0527559313392935,0.0083153195475816,202.5955227529741,246.63802769927264,627.5155297578087,213.17661229634425,181.34589233469455,188.9299766065095,327.9688489956128,1.4975333697428284,9.5
SDMT_139897_raw_result_layers_stats.csv,8,10.37,11.45,10.91,211,11.0,1.08,10.990173544660715,0.0362680201986983,0.0088135120820418,197.38386351241255,240.2933990585891,575.9163474017267,199.47486956535917,161.25860350138086,183.91959053839068,323.9852383050322,1.5987272009709894,11.0
SDMT_139897_raw_result_layers_stats.csv,9,11.46,13.19,12.325,245,12.5,1.7299999999999986,14.094501925001875,0.046981676783607,0.0090448905955471,212.24152485189896,258.38098677622514,640.9932135767659,216.3618571622014,177.74483897214955,201.46026774802945,346.17136634946866,1.529835332153591,12.5
SDMT_139897_raw_result_layers_stats.csv,10,13.2,14.63,13.915,346,14.0,1.4300000000000015,21.29155689984839,0.0774099473835074,0.0094603929323731,235.93733742936263,287.2280629574848,759.4850551551169,248.6477088161029,214.25619797599649,230.50706538425297,382.1063517728375,1.4143975012816046,14.0
SDMT_139897_raw_result_layers_stats.csv,11,14.64,16.0,15.32,458,15.5,1.3599999999999994,16.01683116989349,0.0206592794831411,0.0017135770857312,206.6533734241689,251.5780198207272,687.5674982284507,209.7638445219403,145.5620993246356,203.65407187214896,329.0579824363322,1.3653162994652908,15.5
