File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT,57343,11,11.5,11.25,228.5,2,1,16.37050444,0.201559257,266.7440839,324.7319282,673.1318362,283.4899025,345.0847564,226.4703141,409.2144891,1.874092832,-0.154753501,-0.351463795,-1.080404993,-0.215640295,-0.412253847,0.008922338,-0.582703231
SCPT,57343,11.5,12,11.75,233.5,2,1,18.44633875,0.23199399,277.8869104,338.2971083,707.5328537,296.1239223,368.2986913,235.9402729,421.7520505,1.850495612,-0.174032157,-0.370742451,-1.108601988,-0.237595946,-0.455712193,-0.010396615,-0.591235506
SCPT,57343,12,12.5,12.25,234,2,1,17.12838694,0.217926419,276.0890284,336.1083824,690.6939585,290.2917363,357.2044505,234.9349159,422.542709,1.886375447,-0.165402265,-0.362112559,-1.082375714,-0.215565289,-0.422987193,-0.003987407,-0.590969413
SCPT,57343,12.5,13,12.75,262.5,2,1,17.10210019,0.22487269,279.8424028,340.6777078,693.0666537,292.2772976,362.3821815,238.1316135,428.5849519,1.905273261,-0.063975516,-0.26068581,-0.970875094,-0.107451919,-0.322448323,0.097427563,-0.49023789
SCPT,57343,13,13.5,13.25,254,2,1,15.26295697,0.199465649,274.5542725,334.2399839,666.227371,281.9031569,341.9594414,234.4382887,425.7284537,1.949501472,-0.077814688,-0.274524983,-0.964296743,-0.10422933,-0.297357871,0.080141875,-0.516467443
SCPT,57343,13.5,14,13.75,263.5,2,1,14.1970194,0.191457465,273.4630299,332.9115146,650.5416775,277.1744313,335.2485363,233.6145444,427.2282911,1.99240262,-0.037113071,-0.233823365,-0.903751998,-0.050593656,-0.240818788,0.120380857,-0.483265142
SCPT,57343,14,14.5,14.25,244.5,2,1,14.65893208,0.186045899,275.4085546,335.2799795,660.8844484,277.2483381,329.0452092,236.474661,429.607562,1.970687355,-0.119040339,-0.315750634,-0.994363702,-0.125698323,-0.296979846,0.033374248,-0.563656837
SCPT,57343,14.5,15,14.75,204,2,1,16.46611706,0.184030962,279.7303519,340.541298,693.0595804,281.9961115,325.2385006,242.5657174,433.1346721,1.897882839,-0.315706116,-0.512416411,-1.222995976,-0.323773288,-0.466438767,-0.173152679,-0.752928707
SCPT,57343,15,15.5,15.25,276,2,1,16.26901227,0.161450842,276.3087299,336.3758451,692.2609972,275.5950673,304.4511356,241.7606386,429.3973355,1.873409542,-0.001117961,-0.197828256,-0.919562182,0.001468225,-0.098109734,0.132452726,-0.441981815
SCPT,57343,15.5,16,15.75,250,2,1,17.53689091,0.18272395,285.1091743,347.0894296,714.6921023,284.6950495,321.7153391,249.1370213,440.1857708,1.868651976,-0.131411257,-0.328121551,-1.050390906,-0.129957688,-0.252206197,0.003457886,-0.565735926
