Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0,2,1.0,298,2.492415668081252,0.10352945517998555,122.89113885931852,149.60660382873562,251.3910399723679,145.4332739177643,232.72079183134284,77.72340966075139,188.181916984918,2.6077202929777967
2,3,2.5,271,2.3650366420158564,0.0891037696054375,139.54972970713044,169.88662746955,279.46673825893254,186.62412295587347,281.18789933436375,105.21060055424695,247.47258129854532,2.5864410517050365
3,4,3.5,282,2.59922111896403,0.07512183849601668,148.9924534533126,181.38211724751088,304.1436729444572,190.66365510049732,259.56637536546936,115.58668601063154,263.9941197985326,2.504433692668596
4,5,4.5,270,2.449019832291103,0.060110411361161006,152.9970168321659,186.257237882637,304.5920038339921,181.8787851597585,227.65240238638017,120.69645487663361,273.2844764188989,2.5586351933140197
5,6,5.5,271,1.3279019837654373,0.04220472182451545,138.4945617376283,168.60207515885205,244.36675064532483,158.7388240389962,200.25609450068347,113.50179099767665,273.4185421304802,2.930806611653859
6,7,6.5,197,1.2795722871075863,0.056284647818993776,146.97173827553888,178.9221161615255,247.06120945846305,165.29215161617773,225.67916153504635,121.14209452321278,296.05782644862296,3.0771728881939038
7,8,7.5,193,1.0824167652947796,0.01580914117056002,134.52687668688364,163.77184987968445,238.555442325544,133.97762203042976,132.64170022768238,110.75845065765614,259.9608663250485,2.8959627702429307
8,9,8.5,213,2.2814548024251335,0.07141222039585583,174.86425247734803,212.8782204072062,312.26320060274054,183.31585750435173,237.8765284386652,144.71085128932464,328.2583549714808,2.836645781121058
9,10,9.5,201,1.6851294099924472,0.041274784176285995,163.20134058214296,198.6798928826089,285.76569712945434,161.764410722715,188.29523126206325,136.5345655778508,313.71210412457344,2.9003567121462517
10,11,10.5,203,1.3427774347813715,0.015511538656265261,148.84294822997174,181.20011088866113,263.5262479521713,136.2435468548216,129.6396293909906,125.2743561115902,282.8518922035922,2.867205348339365
11,12,11.5,239,1.8520340598678005,0.033822273341010865,170.2383808424038,207.24672450379583,300.04987157247746,159.5447139060641,175.4476006080333,143.57092963582053,321.0782061715337,2.8613168697228115
12,13,12.5,266,4.243190313468408,0.16488893519642636,225.76122397000594,274.83975092000713,405.94525423267163,225.48913190835125,328.68269375197576,188.83951957783316,405.4007199525953,2.76240785789696
13,14,13.5,299,2.9091524974603273,0.13138793127916285,210.46554376008055,256.2189228383593,354.604803498316,205.54620175473192,300.52364811567566,179.30844035368767,400.2325751271072,2.976229579861443
14,15,14.5,282,3.1919325766792475,0.13727776009797754,217.8784326392561,265.2433092999643,369.44014047499974,209.05945804246227,302.68755696795944,186.04460821580503,410.1513929268203,2.945997964949924
15,16,15.5,310,4.149683393232592,0.21084518636772293,241.45386817127775,293.9438395128595,410.6923825791864,232.123401898769,362.52533494862143,203.96388071086992,441.924158369676,2.919754667634611
16,17,16.5,331,5.259645050702538,0.27865756732278424,262.6670231300736,319.76854989748074,452.3675933588257,250.78207645906613,406.12569727259097,219.77681859043483,466.3665036708182,2.8655686324079856
17,18,17.5,310,4.416533894795212,0.3091587644971194,259.9630133787977,316.47671193940624,425.6411069308532,249.67184050366444,433.39402589316353,219.7395736643109,479.1806042643967,3.031541852303315
18,19,18.5,276,2.2968778924925024,0.0846907128153086,208.9579177965525,254.38355210015138,333.5051892997092,183.13040820654265,244.18486910829654,182.41411864762287,408.6976963091017,3.1419713096329436
19,20,19.5,332,2.7816777281862084,0.1098747929283058,224.40535634312977,273.18912946120224,364.0946165029838,195.92957948130766,267.18439372902924,194.43657696186963,429.04506127475537,3.0719318848514305
20,21,20.5,415,6.416159173522015,0.2008098817123902,278.61794324930923,339.1870613469853,506.8528225721157,242.70856131406342,329.8917892985443,233.7882868727809,472.8590181390185,2.6733059296921566
