Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0.0,1.0,0.5,40.0,1.9462597519159162,0.02845768932194826,95.35394694453032,116.08306584551512,214.69056623664628,95.35100897082532,109.67675021999871,56.14426191678831,134.5144663647564,2.398359939179074
1.0,1.5,1.25,114.0,2.2929773805983786,0.004257350491209334,97.00810556277271,118.09682416337554,255.11252693644545,100.20830915370257,71.54560631846668,67.07643928530811,139.7479599721007,1.9570469803525299
1.5,2.0,1.75,100.0,2.250815217495477,0.016430903424433273,110.87425101398102,134.9773490604987,261.99961834075236,124.52989858514786,115.21559211015534,82.27319711935844,181.5512501108864,2.1806875648704676
2.0,2.5,2.25,160.0,3.435563141098697,0.03418549896435259,130.82587351291474,159.2662807983312,315.3923033533748,155.9077141825505,161.8769503622714,99.70069485006948,213.5774889239623,2.105972062490561
2.5,3.0,2.75,151.0,5.274933183733221,0.022262831336601282,136.24395252979573,165.86220307975123,379.46378263125047,157.77337118200967,132.6970109906438,108.246473190117,213.249789705293,1.7767730399923731
3.0,3.5,3.25,127.0,1.6586312612414684,0.006476222370858714,108.19029262447766,131.70992145588582,248.0956476590445,124.22811509249662,102.20973735380967,86.65619067445878,187.88244684057915,2.225148752773795
3.5,4.0,3.75,180.0,2.9870495771067893,0.012233878431729881,126.94279965709441,154.53906045211485,315.1753677666761,142.251139596976,116.38661509920784,103.47856782903835,212.55019964414493,2.0144592988227354
4.0,4.5,4.25,186.0,9.051496511271063,0.014602609610720045,151.6157567263899,184.57570384082254,487.05732579881516,166.25609848577542,117.2329373843834,127.5596888505617,226.3627434200465,1.4897871404024052
4.5,5.0,4.75,165.0,9.74756259072041,0.018395137596050957,158.36754422902516,192.79527123533487,506.6361844631109,172.93389148826887,125.07973763658109,135.55857353144046,240.06336390002065,1.4904497028787718
5.0,5.5,5.25,172.0,7.066074694277181,0.01101312007630156,151.4006307018485,184.31381128920677,452.5712156142423,160.21290414407636,112.77969762020079,127.53270360729137,229.79787911574869,1.6085247204273032
5.5,6.0,5.75,162.0,7.789145092002128,0.013267977148328048,157.09579760697392,191.24705795631616,473.9905985216291,165.54004257578956,117.49389544068795,134.7192519854858,241.0943802553889,1.5860010311098032
6.0,6.5,6.25,161.0,6.883561071721872,0.008598562420222347,154.52131361287854,188.1129035287219,455.9245994483756,159.6778875872186,110.30036210890971,130.6610169667168,232.52801887078542,1.6244623997610463
6.5,7.0,6.75,162.0,10.541076314085258,0.020877398136425564,171.7517119558293,209.08904064187882,540.5840183136094,182.0290159155808,132.9001161644935,152.78324687602284,266.9281085547783,1.5010353095086972
7.0,7.5,7.25,174.0,11.179536145444056,0.02223668094063196,175.718623813112,213.91832464204947,556.8057060426629,185.82723832365247,135.83309230840047,158.00264920226334,274.16063375734194,1.485829503158813
7.5,8.0,7.75,172.0,11.451915539895973,0.02124651363574873,177.5323883354876,216.12638579972392,565.6902842464474,186.71367386883566,134.7312081957505,160.911892627462,277.2338093543797,1.4735893267230293
