Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0.0,1.0,0.5,351.0,4.66736884034161,0.04295319031819491,112.49741696626447,136.9533771763219,299.5029974097834,110.67438292647321,117.10910881300765,65.89415571753715,142.83133448755362,1.9711135614504451
1.0,1.5,1.25,113.0,7.884895711408051,0.06067343071293035,142.45264810546746,173.42061508491713,408.921213592753,166.6815542907805,174.3737259039912,99.9036509797,199.2124596426529,1.74678192260835
1.5,2.0,1.75,221.0,8.873021482887362,0.037349677986427375,139.97766745473902,170.40759516229102,442.48717487654636,167.40824673666455,146.10708539190477,107.31085308971656,204.0652063317818,1.5542996737973633
2.0,2.5,2.25,227.0,12.844745272044262,0.04175453716981314,153.07235170437835,186.3489499009826,522.5942154387237,183.79447038085667,153.18954607606747,122.56895382599807,221.3531403338945,1.4111645766417573
2.5,3.0,2.75,308.0,8.935140204272447,0.024620922870935497,146.69570718728488,178.58607831495573,464.1115772237683,169.75502403208048,132.48758219051263,117.76119295502609,216.90345372769914,1.533471809635495
3.0,3.5,3.25,281.0,10.636753358617051,0.027403433098464294,155.79107208236564,189.6586964480972,504.3778087430403,179.3406006262147,138.2606168618511,127.64806397686273,229.7742010777428,1.4846552598785225
3.5,4.0,3.75,271.0,9.679776453042008,0.03213241344625916,162.6080107302041,197.95757828024853,493.49880442694814,185.3815266608921,150.65762766161603,132.79709627690085,243.08570529432205,1.589563826963554
4.0,4.5,4.25,268.0,5.194464405648796,0.08806259636033846,173.59645310495105,211.33481247559288,393.9940226795026,209.25646305999604,259.1580806414753,136.69529001881656,284.7522412383567,2.197894356247905
4.5,5.0,4.75,248.0,2.1713176718513827,0.024615790954148144,137.53172000925352,167.42992001126504,285.4689400040565,155.072310047585,157.7796002985429,111.87022689780137,246.573390931179,2.4468996088235255
5.0,5.5,5.25,275.0,4.251040034944274,0.032129011269392244,159.90583192742247,194.66796930294905,372.8012266579016,174.988666991096,167.8100159974486,129.54991436562207,263.1244891139291,2.1278063991145624
5.5,6.0,5.75,282.0,7.001801185294631,0.01690884436001558,161.18415034842536,196.22418303286557,454.9567553285972,171.00042455494955,127.80798691960577,135.36488064009,248.61928479391315,1.7089099151002134
6.0,6.5,6.25,277.0,8.876770651054903,0.01440869503338044,178.50762169129635,217.3136264067956,501.53065173089385,192.69173101901015,160.93674462007894,140.90428537097068,248.2334939451091,1.7085523265903138
6.5,7.0,6.75,192.0,5.811937809506723,0.0025694596116134258,155.2505924126107,189.00072119796096,430.6767517745448,157.7097767923273,108.37339571747984,118.16901581110498,202.89620822894133,1.738240360105328
7.0,7.5,7.25,279.0,4.393502929310459,0.06488076581713678,179.0966438294229,218.03069683581944,388.99215724618034,196.10869705117597,225.1155349810774,150.9575833022553,312.9388919644297,2.2784603356220994
7.5,8.0,7.75,176.0,1.3051708192826734,0.0062058093032777645,127.68101566982578,155.43775820674418,245.72500085328502,125.4134223783039,107.67176316158817,106.19242050675858,232.3277116601227,2.6425509618756218
8.0,8.5,8.25,216.0,1.537542264609249,0.006569729880345713,132.50431220460356,161.30959746647378,263.22427446259627,127.8642553321699,105.44960840028489,110.95985214081382,237.68798908192022,2.542312619010861
8.5,9.0,8.75,186.0,0.9787234949176509,0.00010000000000000007,117.36199752649559,142.8754752496468,223.22671742238046,106.04617243604615,77.12970751886579,75.36106113610208,140.7223724099897,2.677027944741942
9.0,9.5,9.25,182.0,1.1245006496657362,0.002146611579474958,122.06226832028821,148.59754404208994,236.2021757798436,110.6866035828529,81.36603287482613,99.95392230035495,211.37938640138964,2.619620557136346
9.5,10.0,9.75,225.0,1.567831944528276,0.00044510182535424127,129.39444710518615,157.52367473674838,270.2401565695413,115.71394979714053,78.6178809529503,93.7031458918124,175.58056373019215,2.393621474493167
11.0,11.5,11.25,257.0,1.2000837472929116,0.0006029790626975546,126.17589337289525,153.6054354104812,247.5100863663723,107.86855903990258,73.53881697825267,96.288733792385,189.13403447455693,2.5634341086042154
11.5,12.0,11.75,214.0,2.1417005575691297,0.02381917062606516,162.30092324596947,197.58373264726706,310.14629183145723,153.69839254166834,152.69476988969495,143.2656316801911,308.7964878554784,2.614015237682321
12.0,12.5,12.25,199.0,1.7660065323693368,0.015319907864632895,153.66136038153493,187.06600394273843,289.25349637923665,140.6899336148826,130.19952899904487,135.89551815067372,294.2501825068282,2.6617712250664436
12.5,13.0,12.75,235.0,1.7157324595292793,0.012017177205681538,152.44845210542337,185.58941995442854,287.25543907890767,137.18627126753998,122.71505603398471,134.1154776278144,287.9472518438112,2.6570384736373485
13.0,13.5,13.25,257.0,2.1556205918203895,0.012832764885405424,160.01419553642305,194.79989021825423,314.67620708919605,143.0731311690698,124.15786834863832,140.80937932087963,293.67030220140595,2.5245520468690117
13.5,14.0,13.75,289.0,1.963103219148765,0.0051404617767200145,149.91348153992232,182.50336883120966,304.7570156930347,127.62054201433291,95.3717762229776,130.26889707160726,263.3250629264156,2.434870107553675
14.0,14.5,14.25,296.0,6.794850142577505,0.021415962967351914,197.27970121759634,240.16659278663866,491.8639580642886,184.48966227353077,148.41406371023464,176.935473990861,322.54085851305234,1.9106594028973884
14.5,15.0,14.75,320.0,3.8118968600486944,0.016201346062823297,180.06318096235287,219.20735073677767,395.531853633641,160.4503903612151,130.12796211160602,160.6099155708769,312.43789888110734,2.2114337136773368
15.0,15.5,15.25,247.0,3.2918999999999996,0.011599999999999997,173.02984454502794,210.64502814177322,374.58882684110154,151.20655599367583,117.35965002988145,153.6857218889445,300.136965707244,2.2506672044555316
